date,venue,inning,team,target,over_1,over_2,over_3,over_4,over_5,over_6,runs,wickets
18/04/2008,M Chinnaswamy Stadium,1,Kolkata Knight Riders,0,3,18,6,23,10,1,61,1
18/04/2008,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,222,4,5,3,4,8,2,26,4
19/04/2008,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,0,5,15,7,6,9,11,53,1
19/04/2008,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,240,9,7,11,10,10,16,63,1
20/04/2008,Wankhede Stadium,1,Mumbai Indians,0,8,5,6,3,19,6,47,3
20/04/2008,Wankhede Stadium,2,Royal Challengers Bangalore,165,10,1,11,5,10,3,40,1
20/04/2008,Eden Gardens,1,Deccan Chargers,0,9,5,7,0,2,16,39,2
20/04/2008,Eden Gardens,2,Kolkata Knight Riders,110,6,10,2,3,2,3,26,3
21/04/2008,Sawai Mansingh Stadium,1,Kings XI Punjab,0,1,5,10,8,14,16,54,1
21/04/2008,Sawai Mansingh Stadium,2,Rajasthan Royals,166,6,7,15,14,6,5,53,3
22/04/2008,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,0,1,8,6,1,7,2,25,2
22/04/2008,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,142,4,14,12,2,5,11,48,1
23/04/2008,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,0,7,9,18,1,5,13,53,2
23/04/2008,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,208,9,4,12,6,19,2,52,2
24/04/2008,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,0,12,10,10,1,15,10,58,2
24/04/2008,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,214,5,9,5,16,22,16,73,1
25/04/2008,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,0,2,6,7,10,18,17,60,1
25/04/2008,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,182,2,12,4,3,13,5,39,2
26/04/2008,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,0,1,15,1,12,13,15,57,2
26/04/2008,M Chinnaswamy Stadium,2,Rajasthan Royals,135,9,9,7,6,8,6,45,2
26/04/2008,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,0,8,16,8,6,12,11,61,3
26/04/2008,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,147,5,3,10,7,10,10,45,0
